"Step","d4rl_maze2d-medium-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-medium-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-medium-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-large-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-large-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-large-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-medium-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-medium-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-medium-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-medium-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-medium-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-medium-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-medium-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-medium-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-medium-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-large-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-large-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-large-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-umaze-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-umaze-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-umaze-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-umaze-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-umaze-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-umaze-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-large-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-large-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-large-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-umaze-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-umaze-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-umaze-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-umaze-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-umaze-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-umaze-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX","d4rl_maze2d-large-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return","d4rl_maze2d-large-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MIN","d4rl_maze2d-large-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/std_return__MAX"
"0","0.23374344910606587","0.23374344910606587","0.23374344910606587","0.19829019138626097","0.19829019138626097","0.19829019138626097","0.21794494717703364","0.21794494717703364","0.21794494717703364","0.23748684174075835","0.23748684174075835","0.23748684174075835","0.24296296014001809","0.24296296014001809","0.24296296014001809","0.1837797594948911","0.1837797594948911","0.1837797594948911","0.3628553430776512","0.3628553430776512","0.3628553430776512","0.3599874997829786","0.3599874997829786","0.3599874997829786","0.19595917942265428","0.19595917942265428","0.19595917942265428","0.38666652298847903","0.38666652298847903","0.38666652298847903","0.3541059163583687","0.3541059163583687","0.3541059163583687","0.20285709255532572","0.20285709255532572","0.20285709255532572"
"51","","","","0.13999999999999999","0.13999999999999999","0.13999999999999999","","","","","","","","","","0.43972263985380605","0.43972263985380605","0.43972263985380605","","","","","","","0.4958870839213298","0.4958870839213298","0.4958870839213298","","","","","","","0.49862912068991716","0.49862912068991716","0.49862912068991716"
"102","0.4653074252577537","0.4653074252577537","0.4653074252577537","0.45283109433871693","0.45283109433871693","0.45283109433871693","0","0","0","0.449487485921466","0.449487485921466","0.449487485921466","0.49823287727728277","0.49823287727728277","0.49823287727728277","0.46911725613112976","0.46911725613112976","0.46911725613112976","","","","","","","0.4599826083668816","0.4599826083668816","0.4599826083668816","","","","","","","0.4999189934379369","0.4999189934379369","0.4999189934379369"
"153","","","","0.49995099759876466","0.49995099759876466","0.49995099759876466","","","","","","","","","","0.30526054445342266","0.30526054445342266","0.30526054445342266","","","","","","","0.49959983987187184","0.49959983987187184","0.49959983987187184","","","","","","","0.49010100999691897","0.49010100999691897","0.49010100999691897"
"204","0.3459465276599839","0.3459465276599839","0.3459465276599839","0.4788152044369519","0.4788152044369519","0.4788152044369519","0.03160696125855822","0.03160696125855822","0.03160696125855822","0.49778609864077167","0.49778609864077167","0.49778609864077167","0.4877499359302879","0.4877499359302879","0.4877499359302879","0.25514701644346144","0.25514701644346144","0.25514701644346144","0.3065534211193866","0.3065534211193866","0.3065534211193866","0.43917991757365227","0.43917991757365227","0.43917991757365227","0.4999509975987647","0.4999509975987647","0.4999509975987647","0.48927599573246994","0.48927599573246994","0.48927599573246994","0.03160696125855822","0.03160696125855822","0.03160696125855822","0.251745903640953","0.251745903640953","0.251745903640953"
"205","","","","0.49985597925802594","0.49985597925802594","0.49985597925802594","","","","","","","","","","0.4347309512790641","0.4347309512790641","0.4347309512790641","","","","","","","0.4989098114890104","0.4989098114890104","0.4989098114890104","","","","","","","0.45422351326191823","0.45422351326191823","0.45422351326191823"
"307","0","0","0","","","","0.063118935352238","0.063118935352238","0.063118935352238","0.44498988752554813","0.44498988752554813","0.44498988752554813","0.4772829349557765","0.4772829349557765","0.4772829349557765","","","","","","","","","","","","","","","","","","","","",""
"409","0.3570714214271425","0.3570714214271425","0.3570714214271425","","","","0.3570714214271425","0.3570714214271425","0.3570714214271425","0.4480133926569607","0.4480133926569607","0.4480133926569607","0.3406523154185217","0.3406523154185217","0.3406523154185217","","","","0","0","0","0.3609487498246808","0.3609487498246808","0.3609487498246808","","","","0.03160696125855822","0.03160696125855822","0.03160696125855822","0.4896927608204965","0.4896927608204965","0.4896927608204965","","",""
"410","0.18122913673027305","0.18122913673027305","0.18122913673027305","","","","0.42274223824926693","0.42274223824926693","0.42274223824926693","0.4797072023641087","0.4797072023641087","0.4797072023641087","0.2712931993250107","0.2712931993250107","0.2712931993250107","","","","","","","","","","","","","","","","","","","","",""
"614","","","","","","","","","","","","","","","","","","","0","0","0","0.49942366784124287","0.49942366784124287","0.49942366784124287","","","","0.3570714214271425","0.3570714214271425","0.3570714214271425","0.054690035655501276","0.054690035655501276","0.054690035655501276","","",""
"819","","","","","","","","","","","","","","","","","","","0","0","0","0.46948482403587877","0.46948482403587877","0.46948482403587877","","","","0.4984766794946379","0.4984766794946379","0.4984766794946379","0.3427885645700568","0.3427885645700568","0.3427885645700568","","",""
"820","","","","","","","","","","","","","","","","","","","0","0","0","0.4989098114890105","0.4989098114890105","0.4989098114890105","","","","0.49993599590347565","0.49993599590347565","0.49993599590347565","0.375632799419859","0.375632799419859","0.375632799419859","","",""
